LGA,2019,2018,2017,2016,2020,rate 2020,rate 2019,rate 2018,rate 2017,rate 2016
Wellington,21540735.76,21260639.2,21829657.87,21744942.04,17095751.31,370.14,466.38,460.32,472.64,470.8
Wodonga,7643162.83,7768079.86,7517544.65,7664502.64,6203088.85,145.54,179.33,182.26,176.39,179.83
Warrnambool,19365548.92,19072936.03,18794442.23,18542341.26,15064562.02,478.3,614.86,605.57,596.72,588.72
Greater Bendigo,50671967.86,49335223.89,47754127.2,48696383.97,37393438.34,268.75,364.19,354.58,343.22,349.99
Ballarat,57540687.41,55763965.38,54568804.35,54611247.32,43713216.26,373.75,491.98,476.79,466.57,466.93
Swan Hill,8486157.84,8074233.89,7439367.75,7527429.31,5971315.03,262.01,372.36,354.29,326.43,330.3
Greater Shepparton,34161100.28,33343094.2,31147764.24,31422084.52,24979550.94,396.21,541.84,528.86,494.04,498.39
Mildura,29990565.1,28052968.58,25309607.49,25711760.39,22534278.34,417.07,555.07,519.21,468.44,475.88
East Gippsland,25103671.73,24387766.16,23472196.09,23639559.17,19870189.94,400.37,505.83,491.4,472.95,476.33
Bass Coast,17616911.38,17675542.3,16126066.61,16321155.47,13044199.82,366.25,494.63,496.28,452.78,458.25
Latrobe,46054599.85,44669216.68,43552057.13,43563001.39,34582777.34,502.36,669.0,648.88,632.65,632.81
Surf Coast,3639388.08,3171443.64,2924662.21,2854155.94,2960696.56,123.43,151.72,132.22,121.93,118.99
South Gippsland,6396812.57,6302670.64,6575894.83,6565792.42,5146148.99,164.05,203.92,200.92,209.63,209.31
Macedon Ranges,9594189.79,9557852.54,9526013.69,9179543.81,6875014.49,150.84,210.51,209.71,209.01,201.41
Horsham,9923476.11,9511776.16,9202786.89,9269919.86,7232445.14,370.82,508.79,487.68,471.84,475.28
Baw Baw,17178584.59,16428073.8,15586093.22,14661092.83,12615876.95,231.36,315.03,301.27,285.83,268.86
Wangaratta,8873355.74,8725929.3,8712157.83,8236834.09,6958810.67,255.22,325.44,320.03,319.52,302.09
Melbourne,84505931.59,83992700.4,80349220.84,79770052.63,60550927.45,498.27,695.4,691.17,661.19,656.42
Moreland,63544651.2,64168977.16,61627685.48,63531110.68,45240802.69,291.15,408.94,412.96,396.61,408.86
Darebin,81576110.09,82129607.7,81112259.79,84324281.52,56942296.11,428.2,613.44,617.6,609.95,634.1
Boroondara,20450974.24,20325757.29,19330775.5,19997261.39,13839655.64,75.52,111.59,110.91,105.48,109.12
Whitehorse,52795623.89,53601233.78,52884289.66,53182056.73,37533801.12,239.24,336.52,341.66,337.09,338.99
Manningham,56358630.19,58387460.55,54170062.46,56271032.24,40882396.55,324.33,447.11,463.2,429.74,446.41
Banyule,57758108.75,58536906.89,55820854.07,55979946.78,42485587.54,271.6,369.24,374.22,356.85,357.87
Maroondah,62861488.65,65326363.45,65114897.86,65184083.08,45231944.01,405.56,563.63,585.73,583.83,584.45
Knox,73890071.24,75860234.52,75061924.49,73822339.93,53495581.38,332.02,458.6,470.82,465.87,458.18
Monash,110209894.9,111942285.4,109200787.1,111391124.0,80541622.78,437.9,599.2,608.62,593.71,605.62
Port Phillip,28426650.63,27496648.16,27466983.75,28095943.28,21478127.17,246.64,326.43,315.75,315.41,322.63
Kingston,85701350.43,86280868.83,83016928.48,83473105.91,62080320.77,411.73,568.38,572.23,550.58,553.6
Greater Dandenong,119311877.9,121420072.8,118190093.0,118836649.2,87430092.38,586.03,799.73,813.86,792.21,796.55
Frankston,62253454.9,64622291.4,62408098.64,62900685.34,46303077.79,350.9,471.77,489.73,472.95,476.68
Casey,132360622.0,131514174.6,127093891.9,124817967.3,98000778.71,327.86,442.81,439.98,425.19,417.58
Cardinia,28545146.74,29046899.53,27045323.57,25041008.45,21286227.94,230.1,308.57,313.99,292.36,270.69
Yarra Ranges,29226804.27,29300516.12,28850082.09,28793677.63,21194989.29,117.95,162.65,163.06,160.55,160.24
Hume,111695894.1,109623804.8,105766409.6,106043755.0,85935114.72,450.14,585.08,574.23,554.02,555.47
Brimbank,142904247.8,139507225.2,134141671.9,143045743.5,101974223.8,491.19,688.34,671.98,646.13,689.02
Melton,67781774.82,66052977.77,61157311.67,60035038.01,51592384.79,399.4,524.73,511.35,473.45,464.76
Hobsons Bay,47042973.65,47437370.43,46908518.85,46829609.25,34611658.77,382.75,520.23,524.59,518.74,517.87
Wyndham,106057102.2,105458372.2,97761233.6,97384531.85,75755561.99,389.15,544.8,541.73,502.19,500.25
Mornington Peninsula,83357567.15,83996241.79,82563313.29,82381143.15,63053341.44,350.33,463.15,466.7,458.73,457.72
Yarra,30265707.48,31076310.57,30801195.8,32992353.39,22747249.32,276.51,367.9,377.75,374.41,401.04
Maribyrnong,57257924.75,54924962.83,54068510.53,53735025.14,42243207.83,518.68,703.04,674.4,663.88,659.79
Stonnington,19862345.3,20852827.55,23032562.79,23443276.63,14118284.77,145.77,205.07,215.3,237.8,242.05
Glen Eira,74244676.72,77171466.4,76259820.19,76214352.31,54025303.76,358.35,492.47,511.88,505.83,505.53
Bayside,13807869.64,15378669.22,14710079.11,13615020.66,10227125.75,105.07,141.86,157.99,151.13,139.88
Moonee Valley,77650758.56,78589175.42,75679083.21,75401077.51,57497773.73,497.15,671.4,679.51,654.35,651.95
Whittlesea,83872003.89,82322036.69,80110750.99,77580433.2,63277013.84,378.91,502.24,492.96,479.72,464.56
Nillumbik,36834252.11,36153549.61,35182414.41,34071169.2,27789505.11,378.91,502.24,492.96,479.72,464.56
Ararat,4409638.86,4658826.99,4364106.35,4337799.32,3356994.55,279.66,367.35,388.11,363.55,361.36
Northern Grampians,4790945.52,5061681.23,4741475.75,4712893.92,3647277.81,279.66,367.35,388.11,363.55,361.36
Queenscliffe,1896087.68,1871627.83,1817863.17,1782994.62,1403924.57,351.33,474.5,468.38,454.92,446.19
Greater Geelong,118489347.12,116960814.87,113600980.73,111421993.38,87733340.16,351.33,474.5,468.38,454.92,446.19
Corangamite,4763563.16,4538124.33,4532878.02,4502722.49,3684806.24,216.16,279.44,266.21,265.9,264.14
Colac-Otway,5988056.26,5704667.47,5698072.58,5660165.45,4632000.52,216.16,279.44,266.21,265.9,264.14
Hepburn,3179200.31,3081645.66,2935762.88,2734198.49,2481332.38,151.61,194.24,188.28,179.37,167.06
Moorabool,9161543.51,8880418.98,8460026.65,7879175.89,7150488.3,151.61,194.24,188.28,179.37,167.06
Central Goldfields,4882187.27,4948886.55,4741885.03,4775807.05,3736757.29,227.73,297.53,301.6,288.98,291.05
Mount Alexander,5566508.73,5642557.04,5406540.74,5445217.51,4260527.28,227.73,297.53,301.6,288.98,291.05
Mansfield,3067799.03,3065703.2,2856409.89,2689098.97,2109522.23,255.61,371.72,371.47,346.11,325.83
Murrindindi,4663961.52,4660775.23,4342587.54,4088225.47,3207097.46,255.61,371.72,371.47,346.11,325.83
