LGA,Year,Weighted House Price
Yarra,2013,901345.95
Moonee Valley,2013,725259.32
Brimbank,2013,398075.07
Port Phillip,2013,1097165.51
Ballarat,2013,306750.47
Darebin,2013,645947.11
Hobsons Bay,2013,583331.7
Stonnington,2013,1496499.95
Greater Bendigo,2013,319312.47
Boroondara,2013,1437256.19
Monash,2013,737715.76
Kingston,2013,624710.09
Hume,2013,371946.63
Cardinia,2013,437749.29
Greater Dandenong,2013,413830.99
Mornington Peninsula,2013,526956.9
Maroondah,2013,533910.68
Knox,2013,519784.12
Bayside,2013,1269299.35
Yarra Ranges,2013,441230.33
Greater Geelong,2013,358189.15
Banyule,2013,658132.18
Glen Eira,2013,1003903.85
Casey,2013,395191.35
Whitehorse,2013,750531.92
Maribyrnong,2013,607519.92
Moreland,2013,609168.65
Manningham,2013,795165.15
Melton,2013,444146.92
Melbourne,2013,947554.44
Frankston,2013,391357.03
Nillumbik,2013,588989.6
Whittlesea,2013,391023.12
Wyndham,2013,355298.9
Yarra,2014,974346.93
Moonee Valley,2014,786201.47
Brimbank,2014,421286.61
Port Phillip,2014,1280230.12
Ballarat,2014,314642.26
Darebin,2014,706187.48
Hobsons Bay,2014,620291.4
Stonnington,2014,1719326.36
Greater Bendigo,2014,328183.95
Boroondara,2014,1625929.0
Monash,2014,841703.29
Kingston,2014,696109.15
Hume,2014,379937.83
Cardinia,2014,456689.17
Greater Dandenong,2014,453529.12
Mornington Peninsula,2014,545779.53
Maroondah,2014,593045.87
Knox,2014,578359.87
Bayside,2014,1366134.36
Yarra Ranges,2014,467773.95
Greater Geelong,2014,371927.92
Banyule,2014,714379.58
Glen Eira,2014,1106820.94
Casey,2014,420074.38
Whitehorse,2014,857879.54
Maribyrnong,2014,654884.0
Moreland,2014,664018.66
Manningham,2014,899174.99
Melton,2014,465807.73
Melbourne,2014,1020209.71
Frankston,2014,415063.52
Nillumbik,2014,627255.81
Whittlesea,2014,408809.32
Wyndham,2014,366519.24
Yarra,2015,1130363.99
Moonee Valley,2015,906652.99
Brimbank,2015,464513.96
Port Phillip,2015,1420055.75
Ballarat,2015,318879.6
Darebin,2015,794228.47
Hobsons Bay,2015,698205.39
Stonnington,2015,2017997.67
Greater Bendigo,2015,329522.46
Boroondara,2015,1924945.68
Monash,2015,1066006.91
Kingston,2015,791329.99
Hume,2015,406088.51
Cardinia,2015,494410.09
Greater Dandenong,2015,529036.55
Mornington Peninsula,2015,588498.85
Maroondah,2015,697652.14
Knox,2015,678844.88
Bayside,2015,1625555.57
Yarra Ranges,2015,533158.92
Greater Geelong,2015,381888.77
Banyule,2015,786672.24
Glen Eira,2015,1351954.36
Casey,2015,459232.05
Whitehorse,2015,1063999.62
Maribyrnong,2015,726634.54
Moreland,2015,723212.86
Manningham,2015,1090942.76
Melton,2015,484873.49
Melbourne,2015,1089782.18
Frankston,2015,454497.12
Nillumbik,2015,692081.92
Whittlesea,2015,440855.56
