LGA,Year,Type A Percentage,Type B Percentage,Type C Percentage,Type D Percentage,Type E Percentage,Offence Rate
Ballarat,2016,15.16,61.04,4.03,5.67,13.86,11679.23
Pyrenees,2016,17.47,52.76,4.46,4.81,19.61,7668.12
Banyule,2016,12.38,62.18,5.11,4.31,15.82,7904.46
Bass Coast,2016,20.05,49.86,4.58,6.51,18.66,8809.47
South Gippsland,2016,21.42,45.84,6.79,6.32,19.29,5161.05
Baw Baw,2016,18.2,50.3,9.56,6.44,15.13,8404.33
Benalla,2016,21.13,46.63,3.74,4.93,22.76,11471.89
Mansfield,2016,17.31,44.98,7.61,11.81,12.94,7124.74
Murrindindi,2016,26.82,52.51,4.33,9.92,5.31,5095.36
Greater Bendigo,2016,15.09,50.81,4.65,7.37,21.88,9667.13
Boroondara,2016,9.1,74.4,4.57,3.79,7.97,4737.25
Brimbank,2016,13.47,59.99,7.65,6.13,12.63,9375.09
Campaspe,2016,18.88,51.69,4.0,8.1,16.94,10240.72
Cardinia,2016,15.31,56.4,4.8,4.61,18.65,7408.81
Casey,2016,17.05,60.31,4.98,4.35,13.18,7697.2
Central Goldfields,2016,18.91,41.67,2.85,6.9,29.53,11515.24
Loddon,2016,19.04,48.74,11.09,5.23,15.69,6324.42
Darebin,2016,10.03,71.22,5.6,4.79,8.21,10864.07
East Gippsland,2016,19.34,44.83,7.0,9.62,18.69,9118.42
Frankston,2016,13.57,53.11,7.19,8.43,17.57,12120.26
Greater Geelong,2016,11.92,66.07,4.41,6.06,11.38,9586.31
Queenscliffe,2016,8.39,76.92,2.1,4.2,7.69,4882.21
Bayside,2016,13.32,67.49,4.17,5.45,9.32,5243.31
Glen Eira,2016,12.96,62.44,5.97,5.92,12.5,5061.82
Greater Dandenong,2016,15.26,56.18,6.69,7.54,14.05,12879.01
Hobsons Bay,2016,13.44,62.25,4.23,6.41,13.04,7166.78
Hindmarsh,2016,31.89,38.65,5.14,4.59,19.73,6396.96
Horsham,2016,18.41,44.51,6.2,7.26,23.3,14202.37
West Wimmera,2016,25.67,45.99,11.76,6.95,9.63,4749.81
Hume,2016,13.24,60.64,5.79,5.12,14.57,11419.96
Kingston,2016,12.18,61.67,6.08,6.03,13.53,7278.17
Knox,2016,13.36,62.01,7.18,6.34,10.95,7565.81
Latrobe,2016,20.01,46.42,4.21,7.73,21.44,19404.47
Macedon Ranges,2016,15.02,45.72,7.82,8.22,22.68,5172.7
Mount Alexander,2016,13.08,53.59,4.39,8.45,20.26,6566.48
Manningham,2016,14.68,70.03,4.01,3.61,7.62,4091.54
Maribyrnong,2016,10.12,68.74,6.61,6.94,6.35,10511.61
Maroondah,2016,13.31,53.91,7.03,7.23,18.11,8013.07
Melbourne,2016,12.77,60.27,5.36,10.82,10.35,25932.26
Melton,2016,14.9,60.79,5.22,5.38,13.54,8522.84
Merri-bek,2016,12.07,69.49,4.93,3.97,9.25,8628.27
Mildura,2016,17.37,50.57,5.22,10.65,16.05,11925.06
Mitchell,2016,19.0,45.67,6.43,8.45,20.04,11269.29
Strathbogie,2016,24.04,48.53,6.05,5.46,13.27,6546.3
Monash,2016,11.3,72.58,4.16,3.73,8.08,6507.98
Moonee Valley,2016,12.11,67.44,5.7,5.18,9.41,7827.72
Golden Plains,2016,15.47,65.24,4.27,3.58,10.39,3933.5
Hepburn,2016,16.9,68.92,1.64,2.18,10.03,5906.6
Moorabool,2016,16.07,59.46,4.82,4.7,14.69,7752.82
Mornington Peninsula,2016,14.19,53.59,5.62,10.22,16.15,7432.77
Nillumbik,2016,12.5,66.49,3.12,3.28,13.95,4947.49
Ararat,2016,20.78,34.27,12.72,10.35,21.8,10038.31
Northern Grampians,2016,23.25,34.03,10.33,12.7,19.02,11633.54
Yarriambiack,2016,31.97,43.54,3.85,6.12,14.29,6540.12
Port Phillip,2016,11.26,69.41,5.9,6.31,6.84,12520.83
Greater Shepparton,2016,17.17,50.64,5.79,7.58,18.57,12907.24
Glenelg,2016,18.1,52.45,5.73,6.81,16.61,8472.09
Southern Grampians,2016,20.28,36.86,9.55,9.7,23.24,8379.33
Stonnington,2016,9.68,72.57,5.77,6.58,5.26,10440.26
Colac-Otway,2016,17.23,53.08,8.71,8.96,11.37,9348.38
Surf Coast,2016,14.64,70.49,2.81,4.59,7.4,4437.88
Buloke,2016,20.87,47.83,8.7,5.65,16.09,3660.09
Gannawarra,2016,19.77,40.03,6.86,11.11,22.06,5791.62
Swan Hill,2016,20.04,40.54,5.8,12.67,19.91,10647.97
Alpine,2016,24.81,35.66,6.72,19.64,10.59,3076.8
Moira,2016,24.95,46.5,8.23,9.1,11.11,6592.96
Wangaratta,2016,18.05,44.04,8.52,13.07,15.85,9068.97
Corangamite,2016,17.31,57.77,4.48,7.72,12.62,5904.08
Moyne,2016,25.7,50.15,4.64,8.36,11.15,3859.71
Warrnambool,2016,19.39,44.12,9.73,9.17,17.41,9459.14
Wellington,2016,22.39,42.7,6.47,8.97,19.25,10905.12
Whitehorse,2016,14.75,68.77,3.92,4.06,8.36,4708.77
Whittlesea,2016,13.55,66.29,5.5,3.82,10.75,8048.95
Indigo,2016,23.99,46.97,6.06,9.09,13.13,2449.74
Towong,2016,24.69,43.62,5.35,13.17,12.35,4019.19
Wodonga,2016,20.24,51.12,6.16,6.86,15.53,8254.36
Wyndham,2016,13.63,64.79,4.36,4.99,12.07,6775.09
Yarra,2016,9.86,69.94,6.33,6.51,7.1,15074.17
Yarra Ranges,2016,16.51,54.0,7.67,7.33,14.05,5744.53
