LGA,2016 Type A Percentage,2016 Type B Percentage,2016 Type C Percentage,2016 Type D Percentage,2016 Type E Percentage,2016 Offence Rate,2017 Type A Percentage,2017 Type B Percentage,2017 Type C Percentage,2017 Type D Percentage,2017 Type E Percentage,2017 Offence Rate,2018 Type A Percentage,2018 Type B Percentage,2018 Type C Percentage,2018 Type D Percentage,2018 Type E Percentage,2018 Offence Rate,2019 Type A Percentage,2019 Type B Percentage,2019 Type C Percentage,2019 Type D Percentage,2019 Type E Percentage,2019 Offence Rate,2020 Type A Percentage,2020 Type B Percentage,2020 Type C Percentage,2020 Type D Percentage,2020 Type E Percentage,2020 Offence Rate
Ballarat,15.16,61.04,4.03,5.67,13.86,11679.23,16.14,60.04,3.26,5.56,14.83,10973.84,16.96,55.31,3.99,6.33,17.23,10097.76,13.58,62.96,3.51,4.69,15.13,10695.71,16.22,51.98,4.29,5.18,18.72,8746.47
Pyrenees,17.47,52.76,4.46,4.81,19.61,7668.12,24.29,45.16,4.55,6.07,17.46,7194.54,26.55,55.89,2.59,3.59,10.98,6837.72,17.25,36.03,17.1,5.8,23.36,8793.13,21.12,45.16,2.52,6.59,18.22,6839.87
Banyule,12.38,62.18,5.11,4.31,15.82,7904.46,12.67,60.37,4.01,4.46,18.23,7504.27,12.13,54.13,5.48,5.19,22.95,7252.88,12.1,54.42,6.65,4.92,21.79,7285.21,12.42,48.71,9.16,4.57,20.28,7257.43
Bass Coast,20.05,49.86,4.58,6.51,18.66,8809.47,22.25,47.61,5.71,7.73,16.12,7410.5,24.14,46.84,6.19,8.0,14.51,6130.31,19.66,48.9,6.21,6.05,18.7,6669.34,21.98,39.12,4.49,5.22,26.71,7430.04
South Gippsland,21.42,45.84,6.79,6.32,19.29,5161.05,25.78,40.33,5.68,6.44,21.41,4914.68,24.22,41.18,5.26,6.23,22.7,4881.1,17.51,46.01,3.87,3.76,28.44,5781.51,25.14,40.07,3.33,4.59,22.85,5754.49
Baw Baw,18.2,50.3,9.56,6.44,15.13,8404.33,21.27,47.2,6.1,6.32,18.02,7373.78,18.41,49.39,7.13,5.95,18.93,8562.93,15.84,54.88,7.79,6.24,14.79,8809.0,17.16,39.39,9.64,6.71,19.62,9115.2
Benalla,21.13,46.63,3.74,4.93,22.76,11471.89,28.59,41.34,6.57,8.58,14.37,9210.62,22.82,44.46,6.12,8.39,17.53,8419.27,20.61,46.03,6.64,7.56,18.55,9201.38,18.67,38.33,8.37,8.87,23.0,9796.97
Mansfield,17.31,44.98,7.61,11.81,12.94,7124.74,13.73,57.47,4.83,12.97,7.09,7451.95,18.92,39.09,3.53,21.41,12.27,5255.11,22.83,35.52,3.38,13.53,23.47,5022.83,16.02,33.98,7.03,11.33,19.92,5228.76
Murrindindi,26.82,52.51,4.33,9.92,5.31,5095.36,23.96,47.08,8.91,7.1,11.42,5024.49,23.32,45.95,10.06,8.66,11.17,4917.24,22.62,45.98,9.02,5.56,15.33,5489.58,18.55,44.69,7.37,6.15,13.18,6018.02
Greater Bendigo,15.09,50.81,4.65,7.37,21.88,9667.13,15.81,50.27,4.94,7.32,21.54,8503.92,18.09,47.85,4.98,8.18,20.73,9079.41,15.6,52.33,4.7,6.37,20.8,9688.36,16.25,47.51,5.98,6.82,20.58,9221.56
Boroondara,9.1,74.4,4.57,3.79,7.97,4737.25,12.2,70.81,4.07,4.46,8.24,4094.04,10.73,74.83,4.42,3.17,6.68,3869.87,11.0,74.87,4.46,2.72,6.82,4530.15,11.06,71.83,3.46,2.76,6.76,4504.29
